               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060255,            0.034834,            0.053224,             0.50718,             0.52167,             0.47116,             0.15377,            0.054494,            0.027078,            0.032402,            0.070016,           0.0033316,           0.0033316
                   1,            0.051448,            0.029746,            0.023377,               0.762,             0.67643,             0.69665,              0.2336,             0.05221,            0.026813,            0.014991,             0.03995,           0.0065989,           0.0065989
                   2,            0.048815,            0.029746,            0.017354,             0.77907,             0.69167,              0.7135,             0.24158,            0.051248,            0.026701,             0.01353,            0.009818,           0.0098003,           0.0098003
                   3,            0.046497,            0.029549,            0.015243,             0.80546,             0.74264,             0.74638,             0.26379,            0.049853,            0.025818,           0.0096129,            0.009703,            0.009703,            0.009703
                   4,            0.045169,            0.028908,            0.013442,              0.8104,              0.7503,             0.76268,             0.27026,            0.049945,            0.025716,           0.0091961,            0.009703,            0.009703,            0.009703
                   5,            0.044481,            0.028777,            0.012472,             0.81973,             0.76617,              0.7765,              0.2816,            0.049224,            0.025584,           0.0082161,            0.009604,            0.009604,            0.009604
                   6,            0.043945,            0.028685,            0.011654,              0.8185,             0.77804,             0.78238,             0.28946,            0.048635,            0.025384,            0.007725,            0.009505,            0.009505,            0.009505
                   7,            0.043795,            0.028526,            0.011315,             0.82448,             0.78111,             0.78759,             0.28304,            0.049093,            0.025382,           0.0076826,            0.009406,            0.009406,            0.009406
                   8,            0.043408,            0.028419,            0.010986,             0.82345,              0.7933,             0.79413,             0.29092,            0.048423,            0.025292,           0.0070575,            0.009307,            0.009307,            0.009307
                   9,            0.043257,            0.028278,            0.010545,             0.82757,             0.79497,             0.79656,             0.29896,            0.048022,            0.025161,           0.0068034,            0.009208,            0.009208,            0.009208
                  10,            0.043041,            0.028237,            0.010229,             0.82936,             0.79289,             0.79438,             0.29401,            0.048347,            0.025221,           0.0067457,            0.009109,            0.009109,            0.009109
                  11,            0.043094,            0.028258,            0.010126,             0.83486,             0.79962,             0.80495,             0.30181,            0.047768,            0.025142,           0.0065203,             0.00901,             0.00901,             0.00901
                  12,            0.042828,            0.028311,            0.009704,             0.83684,             0.79844,             0.80133,             0.30283,            0.047862,            0.025149,           0.0063952,            0.008911,            0.008911,            0.008911
                  13,            0.042741,            0.028065,           0.0097453,             0.83816,              0.8055,             0.80887,             0.30281,            0.047752,            0.025081,           0.0061658,            0.008812,            0.008812,            0.008812
                  14,            0.042682,            0.028164,           0.0095429,             0.83684,             0.80762,             0.80913,             0.30479,            0.047702,            0.025065,           0.0060444,            0.008713,            0.008713,            0.008713
                  15,            0.042538,            0.027997,           0.0094943,             0.83792,             0.80544,             0.80717,             0.30739,            0.047549,            0.025093,           0.0060727,            0.008614,            0.008614,            0.008614
                  16,            0.042372,            0.027909,           0.0093525,             0.84041,             0.81181,             0.81262,             0.31016,            0.047293,            0.024952,           0.0058647,            0.008515,            0.008515,            0.008515
                  17,            0.042459,            0.028097,           0.0091139,             0.83832,             0.81031,             0.81066,             0.30938,            0.047343,            0.024981,           0.0056868,            0.008416,            0.008416,            0.008416
                  18,            0.042205,            0.027901,            0.009118,             0.83904,             0.81466,              0.8135,             0.30989,            0.047422,            0.024925,           0.0055553,            0.008317,            0.008317,            0.008317
                  19,            0.042291,            0.028062,           0.0089587,             0.83825,             0.81514,             0.81447,             0.30965,            0.047258,             0.02493,           0.0056187,            0.008218,            0.008218,            0.008218
                  20,            0.042113,            0.027909,            0.008782,             0.84048,             0.81598,             0.81658,             0.31216,            0.047219,            0.024877,           0.0054792,            0.008119,            0.008119,            0.008119
                  21,            0.042089,            0.027883,           0.0087314,             0.84181,             0.81611,             0.81924,             0.31308,            0.047163,            0.024857,           0.0054049,             0.00802,             0.00802,             0.00802
                  22,            0.041995,            0.027907,           0.0086878,             0.83855,              0.8204,             0.81989,             0.31444,            0.047017,            0.024814,           0.0053861,            0.007921,            0.007921,            0.007921
                  23,            0.042092,            0.027742,           0.0085377,             0.83823,             0.82343,             0.82023,              0.3149,            0.047025,            0.024843,           0.0053683,            0.007822,            0.007822,            0.007822
                  24,            0.042037,            0.027913,           0.0086185,              0.8398,              0.8209,             0.82057,             0.31424,            0.047037,             0.02486,           0.0052902,            0.007723,            0.007723,            0.007723
                  25,            0.041939,            0.027791,           0.0084538,             0.84216,             0.81972,             0.82024,             0.31409,            0.047047,            0.024881,            0.005237,            0.007624,            0.007624,            0.007624
                  26,            0.041843,            0.027799,           0.0083097,             0.84361,             0.82102,             0.82123,             0.31466,            0.047006,             0.02487,           0.0052134,            0.007525,            0.007525,            0.007525
                  27,            0.041792,            0.027898,           0.0082343,             0.84302,              0.8228,             0.82121,             0.31458,            0.047009,            0.024866,            0.005169,            0.007426,            0.007426,            0.007426
                  28,             0.04174,            0.027568,            0.008206,             0.84197,             0.82256,             0.81974,             0.31432,            0.047053,            0.024868,           0.0051531,            0.007327,            0.007327,            0.007327
                  29,            0.041679,            0.027491,           0.0080939,             0.84045,             0.82527,             0.82022,               0.315,            0.047025,            0.024838,           0.0051256,            0.007228,            0.007228,            0.007228
